,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities
2475,Museum of Tolerance,History museum,4.6,1952.0,"History museum, Museum, Tourist attraction","Museum of Tolerance, 9786 W Pico Blvd, Los Angeles, CA 90035",Los-angeles,USA,CA,,Cultural,8979.199999999999,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2476,Bradbury Building,Historical landmark,4.5,1934.0,"Historical landmark, Tourist attraction","Bradbury Building, 304 S Broadway, Los Angeles, CA 90013",Los-angeles,USA,CA,,Cultural,8703.0,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2477,Autry Museum of the American West,Museum,4.6,1872.0,"Museum, Art museum, Event venue, History museum, Non-profit organization, Tourist attraction","Autry Museum of the American West, Griffith Park, 4700 Western Heritage Way, Los Angeles, CA 90027",Los-angeles,USA,CA,,Cultural,8611.199999999999,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2478,Ripley's Believe It or Not!,Tourist attraction,4.2,1853.0,Tourist attraction,"Ripley's Believe It or Not!, 6780 Hollywood Blvd, Hollywood, CA 90028",Los-angeles,USA,CA,,Entertainment,7782.6,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2479,Japanese American National Museum,Museum,4.7,1728.0,"Museum, Art museum, Ethnographic museum, Heritage museum, History museum, National museum, Tourist attraction","Japanese American National Museum, 100 N Central Ave, Los Angeles, CA 90012",Los-angeles,USA,CA,,Cultural,8121.6,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2480,Original Muscle Beach Santa Monica,Historical landmark,4.6,1649.0,"Historical landmark, Tourist attraction","Original Muscle Beach Santa Monica, Ocean Front Walk, Santa Monica, CA 90401",Los-angeles,USA,CA,,Cultural,7585.4,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2481,Old Los Angeles Zoo,Zoo,4.6,1317.0,"Zoo, Hiking area, Historical landmark, Tourist attraction","Old Los Angeles Zoo, 4801 Griffith Park Dr, Los Angeles, CA 90027",Los-angeles,USA,CA,,Entertainment,6058.2,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2482,Universal City Overlook,Scenic spot,4.7,1254.0,"Scenic spot, Park, Tourist attraction","Universal City Overlook, 7701 Mulholland Dr, Los Angeles, CA 90046",Los-angeles,USA,CA,,Nature,5893.8,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2483,Fisherman's Village,Tourist attraction,4.4,1218.0,"Tourist attraction, Restaurant","Fisherman's Village, 13755 Fiji Way, Marina Del Rey, CA 90292",Los-angeles,USA,CA,,Entertainment,5359.200000000001,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2484,Griffith Park & Southern Railroad,Amusement park,4.6,1188.0,"Amusement park, Amusement center, Tourist attraction","Griffith Park & Southern Railroad, 4400 Crystal Springs Dr, Los Angeles, CA 90027",Los-angeles,USA,CA,,Entertainment,5464.799999999999,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2485,Medieval Torture Museum,Museum,4.9,1134.0,"Museum, History museum, Tourist attraction","Medieval Torture Museum, 6757 Hollywood Blvd, Los Angeles, CA 90028",Los-angeles,USA,CA,,Cultural,5556.6,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2486,The Hollywood Museum,Museum,4.3,1070.0,"Museum, Tourist attraction","The Hollywood Museum, 1660 Highland Ave, Hollywood, CA 90028",Los-angeles,USA,CA,,Cultural,4601.0,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2487,Capitol Records Building,Historical landmark,4.6,913.0,"Historical landmark, Tourist attraction","Capitol Records Building, 1750 Vine St, Los Angeles, CA 90028",Los-angeles,USA,CA,,Cultural,4199.799999999999,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2488,Grand Hope Park,Park,4.4,856.0,"Park, Tourist attraction","Grand Hope Park, 919 S Grand Ave, Los Angeles, CA 90015",Los-angeles,USA,CA,,Nature,3766.4,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2489,Heritage Square Museum,Heritage museum,4.7,681.0,"Heritage museum, History museum, Museum, Tourist attraction","Heritage Square Museum, 3800 Homer St, Los Angeles, CA 90031",Los-angeles,USA,CA,,Cultural,3200.7000000000003,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2490,Hollyhock House,Historical landmark,4.5,454.0,"Historical landmark, Historical place museum, Museum, Tourist attraction","Hollyhock House, 4800 Hollywood Blvd, Los Angeles, CA 90027",Los-angeles,USA,CA,,Cultural,2043.0,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
2491,Mulholland Scenic Overlook,Scenic spot,4.7,453.0,"Scenic spot, Tourist attraction","Mulholland Scenic Overlook, 8591 Mulholland Dr, Los Angeles, CA 90046",Los-angeles,USA,CA,,Nature,2129.1,4.72,"Los-angeles, Sacramento, San-diego, San-francisco"
2492,Bronson Caves,Tourist attraction,4.5,450.0,"Tourist attraction, Hiking area","Bronson Caves, 3200 Canyon Dr, Los Angeles, CA 90068",Los-angeles,USA,CA,,Entertainment,2025.0,4.54,"Los-angeles, Sacramento, San-diego, San-francisco"
2493,The Wende Museum,Museum,4.7,300.0,"Museum, Archive, Art museum, Cultural center, History museum, Tourist attraction","The Wende Museum, 10808 Culver Blvd, Culver City, CA 90230",Los-angeles,USA,CA,,Cultural,1410.0,4.58,"Los-angeles, Sacramento, San-diego, San-francisco"
